iter	Logloss
0	0.6648964628
1	0.6600846812
2	0.6526058436
3	0.6509617273
4	0.6483121889
5	0.6457995607
6	0.6449967871
7	0.6437397881
8	0.6425606144
9	0.64162569
10	0.6407778924
11	0.6395777073
12	0.6381782551
13	0.6373445434
14	0.6362202025
15	0.6351042263
16	0.6342171393
17	0.6333738959
18	0.6323784585
19	0.6316892369
20	0.6308402564
21	0.6304525037
22	0.6297335034
23	0.6288386198
24	0.627919453
25	0.6253405264
26	0.6250960976
27	0.6244931151
28	0.6238169864
29	0.6233926777
30	0.6225385638
31	0.6217846752
32	0.6213437033
33	0.6203911577
34	0.6196069563
35	0.6190562469
36	0.6180957505
37	0.617470923
38	0.6167741071
39	0.6162517618
40	0.6156438606
41	0.6146355285
42	0.614393595
43	0.6138504813
44	0.6137137798
45	0.6129805448
46	0.6120866284
47	0.6117924461
48	0.6108492642
49	0.6105825948
50	0.6100996707
51	0.6091629695
52	0.608477778
53	0.6078770553
54	0.6071187791
55	0.6063469915
56	0.6057887649
57	0.605709975
58	0.605222277
59	0.6047211344
60	0.6041775556
61	0.6038091975
62	0.6033687467
63	0.6028512955
64	0.6020972067
65	0.6016110388
66	0.6013312923
67	0.6006054334
68	0.6004156851
69	0.5998223201
70	0.5997358191
71	0.5992190166
72	0.5986041644
73	0.598040711
74	0.5973968756
75	0.5970157061
76	0.5967069191
77	0.5959242432
78	0.5953735503
79	0.5948974319
80	0.5942227765
81	0.5935497533
82	0.5929510079
83	0.5926026473
84	0.5919483691
85	0.5912187471
86	0.5905670853
87	0.5897124533
88	0.5889698461
89	0.5884948185
90	0.587801976
91	0.5873909801
92	0.5868849615
93	0.5863923712
94	0.5858218128
95	0.58520271
96	0.5845691609
97	0.5838477985
98	0.5832591644
99	0.5827198893
100	0.5820375129
101	0.5819110128
102	0.5817336824
103	0.5815150157
104	0.5808800489
105	0.5805231851
106	0.5801612548
107	0.5797088542
108	0.5790926504
109	0.5784703831
110	0.5782978721
111	0.5777634925
112	0.5774884438
113	0.5768453635
114	0.5763961128
115	0.5755184426
116	0.5751417699
117	0.5746229128
118	0.5741923106
119	0.5741659178
120	0.5738050023
121	0.5732728142
122	0.5730028361
123	0.5725905949
124	0.5723735609
125	0.571918775
126	0.5714191621
127	0.5710012998
128	0.5705754936
129	0.5700395974
130	0.5695674178
131	0.5689367011
132	0.568286164
133	0.5677622872
134	0.5676602123
135	0.5671311821
136	0.5665799596
137	0.5660965255
138	0.5657441305
139	0.5652879298
140	0.5648533437
141	0.5644144539
142	0.5642917114
143	0.5637969771
144	0.5632081898
145	0.5626775806
146	0.5620795068
147	0.5615993135
148	0.5610694257
149	0.5607279591
150	0.5605828782
151	0.5601024751
152	0.5596164085
153	0.5591669499
154	0.5586667977
155	0.5586449467
156	0.5584920008
157	0.5581205499
158	0.5576829947
159	0.5571033547
160	0.5567957633
161	0.5563885861
162	0.5558838749
163	0.5555623054
164	0.5549317344
165	0.5543259994
166	0.553668167
167	0.5529089647
168	0.5524481616
169	0.5517712096
170	0.5514549618
171	0.55098971
172	0.550614707
173	0.5501038629
174	0.5499846323
175	0.549935926
176	0.5496269295
177	0.549610328
178	0.5491435416
179	0.5490698528
180	0.5486601521
181	0.5484100619
182	0.5479443088
183	0.5477452676
184	0.5467984976
185	0.5463338785
186	0.5458360688
187	0.5451831633
188	0.5446520832
189	0.5440582856
190	0.5436079984
191	0.5432104446
192	0.5428180654
193	0.5423088679
194	0.541835234
195	0.5412436423
196	0.5406283343
197	0.5401504734
198	0.5396560309
199	0.5394535184
