iter	Passed	Remaining
0	162	32390
1	168	16723
2	174	11452
3	179	8799
4	188	7352
5	195	6315
6	199	5512
7	206	4946
8	212	4503
9	218	4149
10	224	3854
11	230	3606
12	235	3389
13	243	3228
14	248	3059
15	255	2936
16	261	2812
17	267	2700
18	272	2600
19	277	2501
20	282	2409
21	288	2335
22	295	2273
23	304	2229
24	310	2173
25	315	2113
26	321	2059
27	327	2010
28	332	1958
29	337	1915
30	343	1874
31	350	1839
32	359	1819
33	364	1782
34	370	1747
35	376	1714
36	381	1682
37	387	1653
38	393	1625
39	399	1597
40	406	1577
41	414	1560
42	420	1535
43	426	1511
44	432	1488
45	436	1460
46	442	1438
47	447	1418
48	453	1398
49	462	1387
50	469	1372
51	474	1351
52	480	1333
53	486	1314
54	492	1298
55	497	1279
56	502	1261
57	508	1244
58	517	1235
59	524	1223
60	529	1205
61	534	1190
62	540	1176
63	546	1161
64	552	1146
65	558	1133
66	564	1120
67	572	1111
68	579	1099
69	585	1088
70	592	1076
71	597	1062
72	603	1049
73	609	1037
74	614	1024
75	620	1012
76	626	1000
77	635	993
78	642	984
79	648	973
80	654	962
81	660	951
82	666	939
83	672	928
84	677	916
85	683	905
86	691	898
87	698	889
88	703	877
89	709	867
90	714	856
91	719	844
92	725	834
93	730	823
94	735	813
95	743	805
96	750	797
97	770	802
98	776	792
99	782	782
100	788	773
101	797	766
102	804	757
103	810	748
104	816	738
105	821	728
106	828	719
107	833	709
108	838	699
109	844	691
110	854	684
111	859	675
112	866	667
113	872	658
114	878	649
115	884	640
116	889	631
117	895	622
118	902	614
119	910	607
120	917	598
121	922	589
122	928	581
123	933	572
124	939	563
125	944	554
126	949	545
127	957	538
128	965	531
129	970	522
130	974	513
131	980	505
132	986	497
133	992	488
134	999	481
135	1005	473
136	1014	466
137	1022	459
138	1027	450
139	1033	443
140	1039	434
141	1045	426
142	1050	418
143	1055	410
144	1061	402
145	1070	395
146	1077	388
147	1082	380
148	1088	372
149	1093	364
150	1099	356
151	1105	349
152	1110	341
153	1115	333
154	1124	326
155	1132	319
156	1137	311
157	1143	303
158	1148	296
159	1154	288
160	1160	281
161	1165	273
162	1170	265
163	1179	258
164	1186	251
165	1192	244
166	1198	236
167	1204	229
168	1210	221
169	1214	214
170	1220	206
171	1226	199
172	1234	192
173	1241	185
174	1247	178
175	1252	170
176	1257	163
177	1263	156
178	1268	148
179	1274	141
180	1280	134
181	1289	127
182	1296	120
183	1301	113
184	1306	105
185	1312	98
186	1318	91
187	1323	84
188	1328	77
189	1335	70
190	1343	63
191	1350	56
192	1355	49
193	1361	42
194	1367	35
195	1372	28
196	1378	20
197	1383	13
198	1388	6
199	1397	0
